GameID,isHome,pA,pH,pD,Div,Y,Date,Team,G,S,xG,GD,SD,xGD
295,True,0.36694226970073895,0.3308699787810053,0.3021877515182557,Ligue_1,14,2014-09-28,Lens,0,9,0.5187729999999999,0,-4,0.14338199999999995
296,False,0.35498361053781724,0.36020395775160857,0.2848124317105743,La_Liga,14,2014-09-28,Valencia,1,7,0.554817,0,-11,-0.20806000000000002
296,True,0.35498361053781724,0.36020395775160857,0.2848124317105743,La_Liga,14,2014-09-28,Sociedad,1,18,0.762877,0,11,0.20806000000000002
297,False,0.2381775052891218,0.474053778643083,0.2877687160677952,La_Liga,14,2014-09-28,Almeria,1,15,0.72135,1,7,-0.23591799999999996
297,True,0.2381775052891218,0.474053778643083,0.2877687160677952,La_Liga,14,2014-09-28,La Coruna,0,8,0.957268,-1,-7,0.23591799999999996
298,False,0.3864525893467093,0.3096497088140826,0.303897701839208,La_Liga,14,2014-09-28,Malaga,0,10,0.6194569999999999,-1,1,-0.08494000000000013
298,True,0.3864525893467093,0.3096497088140826,0.303897701839208,La_Liga,14,2014-09-28,Getafe,1,9,0.704397,1,-1,0.08494000000000013
299,False,0.3620658738606752,0.33602688978165396,0.3019072363576707,La_Liga,14,2014-09-28,Espanol,0,4,0.112527,0,-6,-0.024592000000000017
299,True,0.3620658738606752,0.33602688978165396,0.3019072363576707,La_Liga,14,2014-09-28,Cordoba,0,10,0.13711900000000002,0,6,0.024592000000000017
300,False,0.2040246391513181,0.5243213844856455,0.2716539763630364,Ligue_1,14,2014-09-28,St Etienne,1,11,0.348437,-1,-3,-0.7752929999999999
300,True,0.2040246391513181,0.5243213844856455,0.2716539763630364,Ligue_1,14,2014-09-28,Marseille,2,14,1.12373,1,3,0.7752929999999999
301,False,0.28117042337940673,0.4285086365039867,0.2903209401166064,Serie_A,14,2014-09-29,Parma,2,18,1.86017,-2,6,0.8048
301,True,0.28117042337940673,0.4285086365039867,0.2903209401166064,Serie_A,14,2014-09-29,Udinese,4,12,1.0553700000000001,2,-6,-0.8048
302,False,0.3998634561352834,0.3023658850405693,0.2977706588241473,Serie_A,14,2014-09-29,Lazio,4,15,2.43959,4,-2,0.86449
302,True,0.3998634561352834,0.3023658850405693,0.2977706588241473,Serie_A,14,2014-09-29,Palermo,0,17,1.5751,-4,2,-0.86449
303,False,0.25375161978012795,0.4598503532165698,0.28639802700330225,EPL,14,2014-09-29,Newcastle,0,16,1.13994,-1,4,-0.4220900000000001
303,True,0.25375161978012795,0.4598503532165698,0.28639802700330225,EPL,14,2014-09-29,Stoke,1,12,1.56203,1,-4,0.4220900000000001
304,False,0.22163485135905966,0.4778663624424605,0.3004987861984797,La_Liga,14,2014-10-03,Cordoba,1,10,0.377042,0,-8,-1.083758
304,True,0.22163485135905966,0.4778663624424605,0.3004987861984797,La_Liga,14,2014-10-03,Getafe,1,18,1.4608,0,8,1.083758
305,False,0.4559803699772027,0.2469415101891652,0.2970781198336321,Ligue_1,14,2014-10-03,Bordeaux,0,12,0.6170680000000001,-1,5,0.15952500000000003
305,True,0.4559803699772027,0.2469415101891652,0.2970781198336321,Ligue_1,14,2014-10-03,Reims,1,7,0.45754300000000003,1,-5,-0.15952500000000003
306,False,0.2856538437690346,0.4278570673047113,0.286489088926254,Bundesliga,14,2014-10-03,Stuttgart,2,9,1.42919,-1,-3,-0.9366300000000003
306,True,0.2856538437690346,0.4278570673047113,0.286489088926254,Bundesliga,14,2014-10-03,Hertha,3,12,2.3658200000000003,1,3,0.9366300000000003
307,False,0.2527155435746805,0.4647091512178959,0.2825753052074237,Serie_A,14,2014-10-04,Cagliari,0,19,2.01475,-1,6,1.0517819999999998
307,True,0.2527155435746805,0.4647091512178959,0.2825753052074237,Serie_A,14,2014-10-04,Verona,1,13,0.962968,1,-6,-1.0517819999999998
308,False,0.312157721796276,0.384382449584434,0.30345982861929,EPL,14,2014-10-04,Stoke,1,11,0.478187,-2,3,-0.9273230000000001
308,True,0.312157721796276,0.384382449584434,0.30345982861929,EPL,14,2014-10-04,Sunderland,3,8,1.40551,2,-3,0.9273230000000001
309,False,0.6632609828345601,0.12194114963914895,0.2147978675262908,EPL,14,2014-10-04,Man City,2,27,2.30634,2,21,1.616057
309,True,0.6632609828345601,0.12194114963914895,0.2147978675262908,EPL,14,2014-10-04,Aston Villa,0,6,0.690283,-2,-21,-1.616057
310,False,0.25216104449331284,0.4626917278674466,0.28514722763924044,EPL,14,2014-10-04,Crystal Palace,0,11,0.616109,-2,-4,-0.45598099999999997
310,True,0.25216104449331284,0.4626917278674466,0.28514722763924044,EPL,14,2014-10-04,Hull,2,15,1.07209,2,4,0.45598099999999997
311,False,0.1897613022365091,0.547021407564462,0.2632172901990288,EPL,14,2014-10-04,Burnley,2,10,0.9577180000000001,0,-5,-0.6200119999999998
311,True,0.1897613022365091,0.547021407564462,0.2632172901990288,EPL,14,2014-10-04,Leicester,2,15,1.5777299999999999,0,5,0.6200119999999998
312,False,0.1233291156241385,0.6715523761725348,0.20511850820332653,EPL,14,2014-10-04,West Brom,1,8,1.4384,-1,-11,-0.12322999999999995
312,True,0.1233291156241385,0.6715523761725348,0.20511850820332653,EPL,14,2014-10-04,Liverpool,2,19,1.5616299999999999,1,11,0.12322999999999995
313,False,0.10057969282256617,0.6857706328811329,0.2136496742963007,Serie_A,14,2014-10-04,Chievo,0,10,0.5522520000000001,-2,-12,-1.048698
313,True,0.10057969282256617,0.6857706328811329,0.2136496742963007,Serie_A,14,2014-10-04,Milan,2,22,1.60095,2,12,1.048698
314,False,0.22080229876365834,0.5106053158909599,0.2685923853453817,EPL,14,2014-10-04,Newcastle,2,9,1.18603,0,-2,-0.3663900000000002
314,True,0.22080229876365834,0.5106053158909599,0.2685923853453817,EPL,14,2014-10-04,Swansea,2,11,1.5524200000000001,0,2,0.3663900000000002
315,False,0.1942481892117955,0.5291950668256482,0.2765567439625563,La_Liga,14,2014-10-04,Granada,1,8,0.851565,-1,-9,-1.348735
315,True,0.1942481892117955,0.5291950668256482,0.2765567439625563,La_Liga,14,2014-10-04,Malaga,2,17,2.2003,1,9,1.348735
316,False,0.17470363277981502,0.5365215389194318,0.28877482830075296,La_Liga,14,2014-10-04,Levante,3,13,1.0354700000000001,0,-1,-0.0044199999999998685
316,True,0.17470363277981502,0.5365215389194318,0.28877482830075296,La_Liga,14,2014-10-04,Eibar,3,14,1.03989,0,1,0.0044199999999998685
317,False,0.3015655080812452,0.4049950005223335,0.2934394913964213,Bundesliga,14,2014-10-04,FC Koln,2,12,1.12408,-1,-7,-1.3754000000000002
317,True,0.3015655080812452,0.4049950005223335,0.2934394913964213,Bundesliga,14,2014-10-04,Ein Frankfurt,3,19,2.49948,1,7,1.3754000000000002
318,False,0.3152517494204931,0.4226004054731611,0.2621478451063459,Bundesliga,14,2014-10-04,Schalke 04,1,13,0.8473950000000001,-1,-7,-2.381305
318,True,0.3152517494204931,0.4226004054731611,0.2621478451063459,Bundesliga,14,2014-10-04,Hoffenheim,2,20,3.2287,1,7,2.381305
319,False,0.0988818667963053,0.7273310646572678,0.17378706854642684,Bundesliga,14,2014-10-04,Paderborn,2,8,1.12552,0,-13,-0.47565999999999975
