Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
Serie_A,2014-08-31,14,Torino,Inter,0,0,11,14,0.2954707050863858,0.2835152430308673,0.4210140518827471,1.0997299999999999,1.31374,102,0,0,-3,3,-0.21401000000000003,0.21401000000000003
EPL,2014-08-31,14,Leicester,Arsenal,1,1,9,24,0.21633107848927485,0.25845870956350203,0.5252102119472233,0.809743,2.2964900000000004,103,0,0,-15,15,-1.4867470000000003,1.4867470000000003
Bundesliga,2014-08-31,14,Mainz,Hannover,0,0,14,11,0.4498028360459601,0.2716260893573942,0.27857107459664576,1.0088,0.561787,104,0,0,3,-3,0.4470129999999999,-0.4470129999999999
Bundesliga,2014-08-31,14,Freiburg,M'gladbach,0,0,17,9,0.3203864023799178,0.2761640538824081,0.4034495437376742,1.30113,0.321709,105,0,0,8,-8,0.9794209999999999,-0.9794209999999999
Serie_A,2014-08-31,14,Atalanta,Verona,0,0,11,9,0.4625018730768292,0.2904401643428898,0.2470579625802809,0.880993,0.727137,106,0,0,2,-2,0.153856,-0.153856
Serie_A,2014-08-31,14,Cesena,Parma,1,0,9,12,0.2856292770008926,0.3061588812853317,0.4082118417137757,1.09417,0.438551,107,1,-1,-3,3,0.6556190000000001,-0.6556190000000001
EPL,2014-08-31,14,Aston Villa,Hull,2,1,11,9,0.4203066888958101,0.3099096788377334,0.26978363226645663,0.639316,0.28888,108,1,-1,2,-2,0.35043599999999997,-0.35043599999999997
Serie_A,2014-08-31,14,Milan,Lazio,3,1,7,19,0.4778446269377717,0.2790830442229151,0.2430723288393131,2.0112900000000002,2.03815,109,2,-2,-12,12,-0.026859999999999662,0.026859999999999662
Serie_A,2014-08-31,14,Palermo,Sampdoria,1,1,8,10,0.4373962472961417,0.2978017002867348,0.2648020524171236,0.9229430000000001,0.8034640000000001,110,0,0,-2,2,0.119479,-0.119479
Serie_A,2014-08-31,14,Sassuolo,Cagliari,1,1,13,10,0.4226704670028503,0.2746766060074545,0.3026529269896952,1.08028,0.852461,111,0,0,3,-3,0.22781899999999988,-0.22781899999999988
Serie_A,2014-08-31,14,Genoa,Napoli,1,2,11,15,0.24521206586263394,0.2739799618576915,0.4808079722796744,0.520545,1.7902200000000001,112,-1,1,-4,4,-1.269675,1.269675
Serie_A,2014-08-31,14,Udinese,Empoli,2,0,15,13,0.5359509202453988,0.26944785276073624,0.19460122699386506,1.6865400000000002,0.68925,113,2,-2,2,-2,0.9972900000000001,-0.9972900000000001
Ligue_1,2014-08-31,14,Metz,Lyon,2,1,7,17,0.33487007055256457,0.3133350177839109,0.35179491166352456,1.50793,2.14951,114,1,-1,-10,10,-0.6415799999999998,0.6415799999999998
Ligue_1,2014-08-31,14,Bordeaux,Bastia,1,1,23,8,0.5975252124539809,0.2590335362499971,0.14344125129602195,1.35871,1.03398,115,0,0,15,-15,0.3247300000000002,-0.3247300000000002
