Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2014-12-20,14,QPR,West Brom,3,2,1,2,0.3955324901286556,0.29107435475343196,0.3133931551179124
EPL,2014-12-20,14,Southampton,Everton,3,0,1,0,0.3966581747340027,0.283163494680054,0.32017833058594336
EPL,2014-12-20,14,Tottenham,Burnley,2,1,2,1,0.6579152738699686,0.21172651362122097,0.13035821250881027
EPL,2014-12-20,14,West Ham,Leicester,2,0,1,0,0.5689679514330086,0.24283495693915005,0.1881970916278413
EPL,2014-12-21,14,Liverpool,Arsenal,2,2,1,1,0.35267870534241236,0.27310495845457,0.37421633620301764
EPL,2014-12-21,14,Newcastle,Sunderland,0,1,0,0,0.4674136998678887,0.28533975864028094,0.2472465414918303
EPL,2014-12-22,14,Stoke,Chelsea,0,2,0,1,0.15753073770491802,0.2386014344262295,0.6038678278688524
EPL,2014-12-26,14,Arsenal,QPR,2,1,1,0,0.7678615271298797,0.15357230542597594,0.07856616744414437
EPL,2014-12-26,14,Burnley,Liverpool,0,1,0,0,0.20447254008856455,0.2472212071599773,0.548306252751458
EPL,2014-12-26,14,Chelsea,West Ham,2,0,1,0,0.7280706535862373,0.17677974502543536,0.09514960138832725
EPL,2014-12-26,14,Crystal Palace,Southampton,1,3,0,1,0.267911261971148,0.2883985937689417,0.4436901442599103
EPL,2014-12-26,14,Everton,Stoke,0,1,0,1,0.5361392832008037,0.26880407897464953,0.19505663782454688
EPL,2014-12-26,14,Leicester,Tottenham,1,2,0,1,0.26142383243308964,0.2761519356687567,0.4624242318981538
EPL,2014-12-26,14,Man United,Newcastle,3,1,2,0,0.7089418998597793,0.18529163291789683,0.10576646722232382
EPL,2014-12-26,14,Sunderland,Hull,1,3,1,1,0.47632030224270516,0.2911631521127515,0.23251654564454327
EPL,2014-12-26,14,Swansea,Aston Villa,1,0,1,0,0.5537194222580916,0.26205437898310746,0.1842261987588011
EPL,2014-12-26,14,West Brom,Man City,1,3,0,3,0.14739035204872056,0.22025749238741385,0.6323521555638656
EPL,2014-12-28,14,Aston Villa,Sunderland,0,0,0,0,0.4200907189773497,0.3002488881034432,0.279660392919207
EPL,2014-12-28,14,Hull,Leicester,0,1,0,1,0.42992542629122993,0.2900088674390545,0.2800657062697155
EPL,2014-12-28,14,Man City,Burnley,2,2,2,0,0.8422981439886512,0.11427670725460061,0.04342514875674824
EPL,2014-12-28,14,Newcastle,Everton,3,2,1,1,0.3289503462635224,0.2866292490834201,0.3844204046530576
EPL,2014-12-28,14,QPR,Crystal Palace,0,0,0,0,0.39625178428174895,0.29303649915446706,0.31071171656378405
EPL,2014-12-28,14,Southampton,Chelsea,1,1,1,1,0.20267126885270503,0.26819239138590834,0.5291363397613866
EPL,2014-12-28,14,Stoke,West Brom,2,0,0,0,0.5157829369666265,0.2791987408081454,0.2050183222252281
EPL,2014-12-28,14,Tottenham,Man United,0,0,0,0,0.30147687227473247,0.2706629378157129,0.4278601899095548
EPL,2014-12-28,14,West Ham,Arsenal,1,2,0,2,0.27804745829534533,0.26964492521499145,0.45230761648966317
EPL,2014-12-29,14,Liverpool,Swansea,4,1,1,0,0.5729187292585758,0.2505603649698631,0.1765209057715612
EPL,2015-01-01,14,Aston Villa,Crystal Palace,0,0,0,0,0.4032697547683924,0.3024523160762943,0.2942779291553134
EPL,2015-01-01,14,Hull,Everton,2,0,2,0,0.2848677047635054,0.2890692933293388,0.4260630019071559
